symbol,ca,datetime_utc,open,high,low,close,volume
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:24,7.493680986802142e-05,7.648941860511846e-05,7.450629746619566e-05,7.552185079741331e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:25,7.552185079741331e-05,7.651330905494933e-05,7.42983230119652e-05,7.651330905494933e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:26,7.651330905494933e-05,7.651330905494933e-05,7.238855763121858e-05,7.252082734074964e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:27,7.252082734074964e-05,7.333368868205035e-05,7.212886218087233e-05,7.316221117926372e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:28,7.316221117926372e-05,7.320082447218104e-05,7.19760769999605e-05,7.288983392489513e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:29,7.288983392489513e-05,7.31400311216108e-05,6.98796384907592e-05,6.98796384907592e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:30,6.98796384907592e-05,6.98796384907592e-05,6.812024469403227e-05,6.881751816394718e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:31,6.881751816394718e-05,6.989174560200059e-05,6.793122730275681e-05,6.981903001510516e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:32,6.981903001510516e-05,7.028569169439461e-05,6.822301315792932e-05,6.877523424609846e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:33,6.877523424609846e-05,6.938781398257921e-05,6.877523424609846e-05,6.938781398257921e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:35,6.938781398257921e-05,6.988581503222856e-05,6.708685721355376e-05,6.708685721355376e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:36,6.708685721355376e-05,6.74020788368199e-05,6.502278035301939e-05,6.502278035301939e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:37,6.502278035301939e-05,6.93739771855289e-05,6.502278035301939e-05,6.745301295397624e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:38,6.745301295397624e-05,7.350007923730981e-05,6.745301295397624e-05,7.29041586386771e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:39,7.29041586386771e-05,7.358892710874946e-05,7.137962010500929e-05,7.288151920145315e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:40,7.288151920145315e-05,7.611516553847545e-05,7.288151920145315e-05,7.611516553847545e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:41,7.611516553847545e-05,7.954265039427932e-05,7.541595370150908e-05,7.954265039427932e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:42,7.954265039427932e-05,8.04647041529446e-05,7.924300191800823e-05,8.036484462269954e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:43,8.036484462269954e-05,8.154505789235876e-05,7.128401636199828e-05,7.128401636199828e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:44,7.128401636199828e-05,7.96358924936261e-05,7.128401636199828e-05,7.96358924936261e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:45,7.96358924936261e-05,9.097920193532172e-05,7.865214978736084e-05,9.071678909154444e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:46,9.071678909154444e-05,9.480120634157343e-05,8.987236510431967e-05,9.330780249173343e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:47,9.330780249173343e-05,9.330780249173343e-05,8.27250619501911e-05,8.42588873715793e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 09:48,8.42588873715793e-05,8.518928434965062e-05,8.335901542390242e-05,8.425138734131949e-05,
